candle_end_time,open,high,low,close,amount,info
2005-01-04,995.34,995.34,982.59,984.40,11065233.50,{}
2005-01-05,983.51,1000.14,983.23,997.13,12766989.61,{}
2005-01-06,997.62,997.62,984.56,987.53,11026554.97,{}
2005-01-07,986.91,1000.40,984.03,989.61,12644922.53,{}
2005-01-10,989.12,998.97,985.74,998.97,10550586.18,{}
2005-01-11,999.14,1003.40,994.98,1001.78,10936988.25,{}
2005-01-12,998.80,1001.30,993.28,1001.30,10535803.09,{}
2005-01-13,1000.53,1004.49,998.06,1002.70,13274286.94,{}
2005-01-14,1002.49,1009.08,992.09,992.28,13899505.00,{}
2005-01-17,983.12,984.26,968.58,970.81,14983516.94,{}
2005-01-18,970.50,980.54,965.92,980.54,14835485.72,{}
2005-01-19,980.22,980.22,971.87,974.09,13544687.59,{}
2005-01-20,970.52,970.52,957.81,962.02,15023285.58,{}
2005-01-21,960.48,984.27,948.66,984.27,24394545.29,{}
2005-01-24,996.02,1001.74,990.69,1001.43,26312109.74,{}
2005-01-25,998.96,998.96,986.74,997.72,17695814.34,{}
2005-01-26,993.67,997.40,987.81,988.75,14510113.60,{}
2005-01-27,986.57,986.57,972.95,973.29,13805974.06,{}
2005-01-28,973.29,973.42,959.53,962.25,12517329.10,{}
2005-01-31,958.52,958.52,940.52,941.30,13569271.99,{}
2005-02-01,939.16,949.90,936.22,937.55,14444511.63,{}
2005-02-02,937.73,987.94,937.73,987.94,27612899.31,{}
2005-02-03,986.85,992.52,971.65,972.19,27160850.60,{}
2005-02-04,971.32,995.41,969.44,992.61,24015019.88,{}
2005-02-16,998.38,1009.10,995.35,1000.77,19918635.81,{}
2005-02-17,1001.05,1001.13,990.85,1001.13,16056552.56,{}
2005-02-18,1000.78,1000.78,987.58,987.64,15205929.90,{}
2005-02-21,988.05,1006.17,988.05,1006.17,17830040.71,{}
2005-02-22,1007.17,1029.66,1005.43,1029.04,33541991.67,{}
2005-02-23,1029.42,1036.79,1023.13,1031.99,35633000.56,{}
2005-02-24,1030.52,1034.49,1024.35,1034.49,29052581.15,{}
2005-02-25,1035.01,1046.97,1035.01,1035.40,34098666.43,{}
2005-02-28,1034.73,1036.57,1026.44,1030.37,25457517.72,{}
2005-03-01,1029.84,1032.91,1022.14,1028.35,21762988.86,{}
2005-03-02,1028.61,1035.86,1013.18,1013.53,26898544.45,{}
2005-03-03,1011.86,1019.60,1005.90,1019.34,18447836.80,{}
2005-03-04,1019.48,1021.80,1012.58,1013.95,16033536.17,{}
2005-03-07,1014.66,1020.04,1014.12,1019.03,15683822.31,{}
2005-03-08,1021.66,1038.90,1021.66,1038.90,25817413.12,{}
2005-03-09,1041.21,1044.10,1033.08,1038.78,28495219.23,{}
2005-03-10,1038.85,1038.85,1011.09,1013.80,24981414.88,{}
2005-03-11,1012.31,1019.09,1008.62,1018.75,21104883.57,{}
2005-03-14,1018.51,1028.70,1004.78,1019.30,26403918.51,{}
2005-03-15,1019.21,1019.21,1002.46,1003.89,22640670.43,{}
2005-03-16,1002.44,1002.44,988.05,993.93,19485010.13,{}
2005-03-17,992.78,994.44,982.40,982.48,18732914.15,{}
2005-03-18,981.24,984.33,962.95,965.95,18246055.77,{}
2005-03-21,964.44,969.14,959.20,968.01,13878369.56,{}
2005-03-22,967.33,967.33,942.42,946.22,20785557.59,{}
2005-03-23,944.89,958.08,938.14,942.92,19676112.04,{}
2005-03-24,941.49,950.12,933.27,950.12,16325757.82,{}
2005-03-25,949.81,952.08,945.33,948.21,13792773.76,{}
2005-03-28,946.90,946.90,931.47,943.83,13368564.93,{}
2005-03-29,943.41,950.58,937.94,938.15,13699379.62,{}
2005-03-30,935.81,935.81,915.91,916.09,16712982.48,{}
2005-03-31,914.12,922.10,907.66,922.10,14755423.20,{}
2005-04-01,921.40,965.15,915.72,955.99,27992484.74,{}
2005-04-04,947.02,949.82,938.85,939.43,20395219.99,{}
2005-04-05,937.84,942.45,930.96,932.21,17144764.14,{}
2005-04-06,932.21,950.44,924.95,948.75,25095356.94,{}
2005-04-07,950.16,974.19,948.83,961.07,36046896.54,{}
2005-04-08,960.88,978.59,956.29,978.59,27542837.20,{}
2005-04-11,978.82,984.02,970.35,973.08,29628659.47,{}
2005-04-12,971.56,971.56,954.64,954.88,20058754.49,{}
2005-04-13,961.99,980.38,961.99,977.37,29064055.37,{}
2005-04-14,980.42,980.42,962.58,963.45,24363288.96,{}
2005-04-15,959.36,959.36,945.56,946.92,21442051.37,{}
2005-04-18,943.94,943.94,930.07,935.08,17101307.59,{}
2005-04-19,934.04,938.04,928.60,936.69,16990762.26,{}
2005-04-20,935.40,935.40,917.57,920.52,17546506.90,{}
2005-04-21,918.33,923.74,906.19,909.62,19878702.32,{}
2005-04-22,908.25,912.18,897.78,902.05,20688621.93,{}
2005-04-25,892.60,894.77,880.42,889.92,20844709.94,{}
2005-04-26,887.88,902.58,886.10,900.10,21864690.39,{}
2005-04-27,901.95,901.95,887.64,887.98,20088312.25,{}
2005-04-28,885.12,906.44,878.14,904.97,26689126.10,{}
2005-04-29,903.98,904.43,893.14,894.52,21044939.71,{}
2005-05-09,896.18,896.18,869.77,869.82,15337247.01,{}
2005-05-10,866.28,872.16,849.65,872.16,18585834.12,{}
2005-05-11,870.99,875.57,862.32,863.16,16547983.43,{}
2005-05-12,861.40,861.40,848.28,851.46,17816802.11,{}
2005-05-13,849.54,862.28,843.55,854.90,19654106.47,{}
2005-05-16,853.69,853.69,840.17,845.46,15529782.52,{}
2005-05-17,843.62,857.41,840.73,853.11,16868550.36,{}
2005-05-18,852.53,860.37,845.00,856.27,15609335.47,{}
2005-05-19,855.83,859.34,845.73,856.68,15745341.41,{}
2005-05-20,855.93,861.08,852.48,853.74,14378466.61,{}
2005-05-23,850.17,850.17,830.59,831.27,14680530.50,{}
2005-05-24,828.70,842.41,827.26,840.03,16898448.36,{}
2005-05-25,839.57,846.71,835.01,840.55,15691202.94,{}
2005-05-26,839.76,844.02,827.85,829.98,14234879.77,{}
2005-05-27,828.14,834.65,821.84,822.45,14629109.46,{}
2005-05-30,820.39,830.30,816.73,828.85,13359732.44,{}
2005-05-31,829.64,834.39,826.27,828.61,14049808.79,{}
2005-06-01,827.86,828.74,810.23,811.21,15314483.78,{}
2005-06-02,809.39,809.39,791.31,795.82,17193480.43,{}
2005-06-03,793.99,799.27,784.43,794.36,15157067.53,{}
2005-06-06,792.98,811.39,783.14,811.39,16325813.37,{}
2005-06-07,813.38,828.75,809.19,811.11,24118583.58,{}
2005-06-08,816.94,878.29,816.94,875.89,57569829.36,{}
2005-06-09,876.46,893.74,869.39,882.53,58105789.56,{}
2005-06-10,882.22,882.22,861.38,864.61,39450925.64,{}
2005-06-13,863.14,867.80,848.40,863.21,27525342.28,{}
2005-06-14,865.00,872.09,850.68,850.88,26371331.17,{}
2005-06-15,848.31,848.31,830.85,832.15,21372958.05,{}
2005-06-16,831.22,841.90,824.83,841.90,20066224.63,{}
2005-06-17,845.15,845.15,838.15,841.00,23850772.85,{}
2005-06-20,841.31,864.94,831.23,864.94,31552569.30,{}
2005-06-21,864.75,864.75,853.94,855.84,23443262.69,{}
2005-06-22,854.13,859.46,850.38,858.98,19390863.65,{}
2005-06-23,858.07,861.87,850.62,850.75,18377572.72,{}
2005-06-24,848.72,854.61,845.10,854.61,17264423.68,{}
2005-06-27,859.62,876.68,859.62,873.38,32300706.05,{}
2005-06-28,871.77,871.77,858.21,860.31,20763452.00,{}
2005-06-29,861.79,862.22,855.38,855.78,19569461.28,{}
2005-06-30,854.20,854.20,834.30,835.01,20684860.40,{}
2005-07-01,832.20,832.20,810.54,811.08,21481757.41,{}
2005-07-04,806.76,806.76,790.02,804.44,18972009.51,{}
2005-07-05,802.08,804.72,794.70,798.47,15343586.97,{}
2005-07-06,798.92,803.47,790.49,793.75,13915460.73,{}
2005-07-07,793.51,797.92,790.56,796.39,12755415.87,{}
2005-07-08,794.49,794.49,777.05,777.81,15676680.83,{}
2005-07-11,781.69,795.30,770.62,771.14,16877431.01,{}
2005-07-12,768.90,797.60,767.52,797.22,26786904.29,{}
2005-07-13,795.97,796.54,787.97,791.08,19149717.70,{}
2005-07-14,789.88,798.03,788.90,792.69,18097912.26,{}
2005-07-15,792.35,796.30,777.54,780.15,18420578.78,{}
2005-07-18,778.09,778.09,765.23,767.93,16349361.14,{}
2005-07-19,766.51,774.51,764.00,771.55,14802970.61,{}
2005-07-20,771.16,779.33,768.23,777.30,15741825.38,{}
2005-07-21,776.93,777.06,768.73,776.73,16207309.77,{}
2005-07-22,776.62,798.96,776.61,792.91,37013718.12,{}
2005-07-25,791.86,793.37,787.94,790.80,21620300.55,{}
2005-07-26,790.33,811.08,790.33,809.07,36867953.37,{}
2005-07-27,809.35,825.13,807.36,825.13,36349176.32,{}
2005-07-28,825.20,831.02,819.95,822.62,38779031.82,{}
2005-07-29,821.28,823.36,815.11,819.93,26649237.02,{}
2005-08-01,819.56,827.50,818.07,824.12,22397217.54,{}
2005-08-02,824.58,836.39,821.06,836.39,29126557.80,{}
2005-08-03,837.94,852.29,836.81,842.61,49139839.57,{}
2005-08-04,840.74,841.81,835.09,837.46,30021931.26,{}
2005-08-05,838.35,858.69,838.35,858.69,40755450.07,{}
2005-08-08,861.83,869.97,859.96,865.50,46579839.06,{}
2005-08-09,865.70,874.09,858.17,874.09,42162970.48,{}
2005-08-10,874.44,882.31,866.92,882.31,47026470.18,{}
2005-08-11,882.58,894.39,880.83,894.39,54560720.69,{}
2005-08-12,895.32,899.58,875.80,879.53,60365577.73,{}
2005-08-15,881.31,900.27,879.90,900.27,44786239.03,{}
2005-08-16,901.59,905.46,890.38,894.79,49887146.11,{}
2005-08-17,893.58,906.06,880.34,906.06,50023797.89,{}
2005-08-18,909.29,914.51,875.86,876.17,72419764.23,{}
2005-08-19,872.97,880.57,864.11,877.25,46278067.09,{}
2005-08-22,876.88,886.03,874.15,886.03,34653195.40,{}
2005-08-23,885.89,885.89,869.36,875.71,31126429.95,{}
2005-08-24,875.83,885.47,875.83,884.03,31485140.27,{}
2005-08-25,884.43,888.01,876.83,888.01,34132909.95,{}
2005-08-26,888.61,889.36,882.40,888.40,35548628.10,{}
